"# of Fireplaces","Address - City","Address - Street Complete","Address - Zip Code","Architectural Style","Bedrooms And Possible Bedrooms","Close Date","Close Price","Cooling","DOM","Exterior Features","Fireplace Features","Full Bathrooms","Garage Spaces","Heating","Levels","List Price","Listing Date","Listing Number","Lot Size - Acres","Lot Size - Sq Ft","On Market Date","Original Price","Parking Features","Partial Bathrooms","Patio And Porch Features","Pending Date","Pool","Pool Features","Property Type","Public Remarks","Square Footage","Status","Subdivision","Year Built Details"
"1","Penn Valley","19625 Tara Ln","95946","Other","3","","0.00","Central","88","","Other","2","0","Central","One","411900.00","02/21/25","225020901","6.0500","263538","02/26/25","411900.00","No Garage","0","","","No","","Residential","Attention Contractors or DIY'ers! Bring your tool belts and vision to this fabulous fixer on a private end of the road property on 6+ acres. There are TWO homes with good bones in need of TLC, 2 strong wells, seasonal pond,...so much potential here you dont want to miss out!","1711","Active","","1998"
"1","Penn Valley","13715 Sun Forest Dr","95946","Contemporary","4 (5)","","0.00","Ceiling Fan(s),Central","38","","Family Room,Free Standing","3","2","Propane,Central,Fireplace(s)","Two","575000.00","02/25/25","225022395","0.3000","13068","03/31/25","599000.00","24'+ Deep Garage,Uncovered Parking Spaces 2+,Garage Facing Side,Workshop in Garage,See Remarks","0","Front Porch,Uncovered Deck,Covered Patio,Enclosed Deck","","No","","Residential","Fantastic 4 bedroom plus an office with tree filled views that's terrific for family, friends and multi-generational living!  Main floor living features a great room with a Chef's kitchen with granite, plenty of workspace, an island with a cooktop and a garden window. The cozy family room has a freestanding stove, big picture windows and opens to your large deck that's perfect for entertaining. Hosting the holidays? The spacious living and dining rooms are ready for a crowd, great for festive dinners or cheering on the big game!  The large primary bedroom has a sitting area, an oversized walk-in closet and opens to the deck.  The ensuite bathroom features a walk-in shower and dual vanities.  Across the hall you'll find the office with built-ins, a guest bedroom, a full bath and an oversized garage. Downstairs has been converted to 2 bedrooms, a sitting room, a full bath and outdoor access.  Don't worry about storage, there's tons of under-house space for all your gear.  Lake Wildwood is an all ages, gated, Firewise community with great internet. Close to the Yuba River, 1 hour to Lake Tahoe or Sacramento, 24-hour security, an award winning 18 hole golf course, private lake for swimming, fishing, pool, clubhouse, parks, marina, pickleball, tennis courts, trails and more!","2954","Active","Lake Wildwood","1989"
"2","Grass Valley","11722 Logans Run Ct","95945","Colonial,English","4","","0.00","Ceiling Fan(s),Central","87","Balcony,Uncovered Courtyard","Living Room,Master Bedroom,Raised Hearth,Gas Log,Gas Piped","3","3","Central,Fireplace Insert,Fireplace(s)","","949500.00","02/27/25","225023217","3.7000","161172","02/27/25","979000.00","24'+ Deep Garage,Uncovered Parking Spaces 2+","1","","","No","","Residential","Stunning English Farmhouse in Foxwood Estates on 3.7 ac. Tranquil setting on a Huge shared POND Close to town! This Quality-built home welcomes you with a Charming Brick porch. Inside are Vaulted Ceilings, Wood Floors, Abundant windows and Sliders showcasing the peaceful Water View & Deck. Admire the Stained-Glass Window above the Living Room while relaxing by the cozy fireplace. Designed for entertainment, it boasts a formal dining room, Large Eat-In Kitchen, Breakfast Bar, and Den/Office. The Master Suite features a romantic fireplace and spacious bath w/ jetted tub & Sep. Shower. Convenient Main Level living includes 1/2 bath and Laundry. Upstairs offers a Loft/Office w/ closet (potential bedroom), two more bedrooms, 2 full baths, and a LARGE Family Room w/ skylight, perfect as a guest suite. Outdoors, enjoy lush landscaping, stone patio, fruit trees, Gazebo, and more. Partial basement offers workshop and storage potential. Private, serene setting near Deer Creek and trails. SF includes family room. Home is move-in ready. A quiet neighborhood with upper end homes at and EXCELLENT VALUE!","2900","Active","","1998"
"2","Nevada City","11494 Ridge Rd","95959","Chalet,Cottage","1","","0.00","Window Unit(s)","87","","Brick,Living Room,Wood Burning,Free Standing","1","1","Wall Furnace","One","399000.00","02/18/25","225019614","0.4300","18731","02/27/25","525000.00","Attached,RV Possible,Garage Facing Front,Uncovered Parking Spaces 2+,Guest Parking Available","0","","","No","","Residential","Two of the most charming small homes in NC on half acre lot with lovely large trees and mature landscaping.  Main 830 sq. ft. cottage-style home has redwood lap siding, one car garage, oak flooring and interior walls and ceilings of knotty pine.  Brick fireplace in large living room, dining area, full kitchen and one bedroom, one bath with tub/shower.  Second unit is chalet style studio with big windows looking out to the woodsy yard.  Bedroom area, compact kitchen and bath with tub/shower, approx. 400 sq. ft. Great neighborhood near the high school and just a few blocks from downtown Nevada City or easy drive to downtown Grass Valley or Brunswick shopping area.  Each unit has own septic tank and propane- natural gas is in the street.  Used for many years as a vacation home (rear) and rental (front.)Price reflects need for new leach field.","830","Active","","1948"
"1","Penn Valley","13820 Gold Country Dr","95946","Contemporary,Craftsman","3 (4)","","0.00","Ceiling Fan(s),Central","87","Dog Run,Uncovered Courtyard","Living Room,Raised Hearth,Gas Log","2","2","Propane,Central,Fireplace(s),Natural Gas","Two","549000.00","02/27/25","225022881","0.5500","23958","02/27/25","549000.00","Attached,Boat Storage,RV Possible,Guest Parking Available","0","Front Porch,Uncovered Patio","","No","","Residential","This custom Wildwood Ridge home offers a peaceful retreat with lake views from the kitchen, living room, and primary suite. The vaulted pine ceilings, wood accents, and stone-surround gas fireplace bring warmth and character throughout.    The spacious eat-in kitchen features solid maple cabinetry, a breakfast nook with lake views, and plenty of storage, connecting seamlessly to the dining area. The primary suite offers a walk-in closet, jetted tub, and a walk-in tile shower, creating a relaxing escape. Two additional bedrooms plus a large flex space with a private entrance provide options for a home office, guest quarters, or media room.    The backyard is a great space for entertaining, offering a large open area ready for your vision. A concrete driveway, dedicated RV pad with hookups, and ample parking add to the home's functionality. Conveniently located near Penn Valley's parks, hiking trails, and lakes, with easy access to Grass Valley and Nevada City amenities, this home is a private getaway with room to make it your own.","2414","Active","","2001"
"0","Grass Valley","15854 Wolf Mountain Rd","95949","Other","5","","0.00","Central","87","","","3","1","Central","","582300.00","02/27/25","225023822","5.0000","217800","02/27/25","647000.00","Garage Facing Side,Workshop in Garage","0","Uncovered Deck","","No","","Residential","Welcome to 15854 Wolf Mountain Road in Grass Valley, CA - a unique opportunity with endless potential! This spacious 3,846 sqft home features 5 bedrooms and 3 bathrooms, offering plenty of room for your family or creative vision. Situated on a peaceful lot, this property needs work but presents a fantastic canvas for renovation and customization. The main house is thoughtfully designed, with an enclosed catwalk structure connecting it to the garage and additional living space. This layout adds convenience and potential for expanded living or work areas, making it ideal for those looking for a multi-functional home.   While the home requires some updates and repairs, its charm and potential shine through. From the main living areas to the additional spaces, there's an opportunity to transform this property into your dream home.","3846","Active","2 Story","1974"
"2","Penn Valley","18410 Blue Teal Loop","95946","Contemporary","4","","0.00","Ceiling Fan(s),Central,Whole House Fan","86","","Kitchen,Living Room,Dining Room,Double Sided,Family Room","2","2","Propane,Central,Fireplace(s)","Two","750000.00","02/28/25","225024205","1.4100","61420","02/28/25","770000.00","Attached,Garage Door Opener,Garage Facing Front,Golf Cart","1","Awning,Uncovered Deck","","No","","Residential","If you're looking for a spacious comfortable turnkey home on a large private lot in a beautiful, gated community with a lake for skiing, fishing, pleasure boating, swimming, or just to gaze at, a golf course, club house, parks, marina, bocce, pickleball, tennis courts, live concerts, fireworks and more, you might want to consider this one! Quality custom appointments include cherry cabinets, granite counters, stainless steel appliances, upgraded floor covering, all main living and access on the main level, two-way gas fireplace, spacious upper and lower decks overlooking the lake and surrounding hillsides. Enjoy views from nearly every room through a variety of beautiful windows, no nearby neighbors on any side. The luxurious master suite includes a large walk-in closet, the bath has a large, jetted tub, spacious double sink counters, separate walk-in shower, and private commode room. Downstairs is equally spacious and appointed with a gas fireplace, various venues for games or entertainment, multiple bedrooms  facing the views, and a private entrance making this area suitable for in-laws, adult kids, rental income? Plenty of storage throughout. The oversized garage includes a golf cart area. Come see and enjoy!","2900","Active","Lake Wildwood","2005"
"1","Grass Valley","12118 Logans Run Ct","95945","Farmhouse","4 (5)","","0.00","Central,Other","58","Balcony,Entry Gate","Living Room,Gas Log","3","3","Propane,Central,Propane Stove","","1199000.00","02/28/25","225024350","3.3100","144184","03/28/25","1300000.00","24'+ Deep Garage,Attached,RV Possible,Garage Door Opener,Garage Facing Front,Uncovered Parking Spaces 2+,Guest Parking Available,Workshop in Garage","1","Front Porch,Covered Deck,Uncovered Deck,Wrap Around Porch","","No","","Residential","Stately and elegant one-story Country Farmhouse overlooking a fantastic year-round pond and located 5 minutes to downtown Grass Valley and Nevada City! Foxwood Estates is one of Nevada County's most desired developments because of the location to the town centers, quality of homes and the ponds! Built by highly respected Robert Holderbein with thoughtfulness & attention to timeless detail, this lovely home boasts over 3,850 SF of gracious living, plus guest quarters. The delightful, covered porch across the span of the front leads you into the dramatic great room with coffered ceilings, gas fireplace, Anderson Wood sliding doors with Palladian windows overlooking the pond! The kitchen boasts all GE Profile and Bosch appliances including a gas cooktop, granite counters and Alder cabinets with loads of storage and easy access into the huge formal dining room! The romantic Primary suite is separate from the guest bedrooms and enjoys a gas fireplace and sliding door opening out to the pond! Two more guest bedrooms, making a total of three bedrooms, plus a great office completes the perfect floor plan! The 3-car garage has an enclosed workshop, plus beautiful guest quarters and a huge storage room to expand! Big producing well, great internet, and absolute joy to live many years in!","3850","Active","Foxwood Estates","2000"
"1","Penn Valley","11599 Sandpiper Way","95946","Contemporary","3","","0.00","Ceiling Fan(s),Central","74","Dog Run","Wood Stove","3","2","Central,Wood Stove","Two","590000.00","02/27/25","225024560","0.3900","16988","03/12/25","590000.00","Garage Door Opener,Garage Facing Front","0","Awning","","No","","Residential","Look no further for the perfect Lake Wildwood home! Nestled on a gently sloping lot, this move-in ready, well maintained 2-story 3 bedroom, 3 bathroom home offers over 2700 sqft of well-designed living space. The gourmet kitchen features hickory cabinets, silestone countertops, and a coffered ceiling, creating a welcoming space for cooking and gathering. The spacious living room boasts a vaulted ceiling, a wood stove on a rock hearth, and a sliding door leading to a large deck. The primary suite includes laminate flooring, a generous closet, and deck access. Its en suite bathroom features a tile shower, standalone soaking tub, and dual sinks with a granite countertop. Downstairs offers flexible space. Ideal for a family room, game room, and/or guest suite. Lots of possibilities.  Beyond its beauty, this home is incredibly efficient, featuring 31 OWNED solar panels and tankless water heater. Other highlights include an outdoor chair lift, a dog run, a manual awning, a spiral staircase, and a spacious 2-car garage. As a Lake Wildwood resident, you'll have access to top-tier amenities, including an 18-hole championship golf course, community pool, private lake, clubhouse, 5 beautiful parks, pickleball and tennis courts, and more.","2716","Active","Lake Wildwood","1980"
"1","Nevada City","568 E Broad St","95959","Cottage,Victorian","3","","0.00","Window Unit(s)","83","","Living Room,Wood Burning,Free Standing","3","0","MultiZone","","779000.00","03/03/25","225025230","0.0900","3920","03/03/25","799000.00","No Garage,See Remarks","0","","","No","","Residential","Walk right up to this rare chance to own a piece of Nevada City's storied history. This iconic Victorian-era home proudly radiates vintage elegance. Original hardwood floors feature a charming, boot-worn patina, while grand windows flood the space with natural light. Imagine curling up with a Charles Dickens novel in the cozy living room or throwing open the pocket doors to host a holiday feast. The main floor flows from a formal dining room through a delightful kitchen and onto a spacious, private deckperfect for entertaining. Ascend the staircase, tracing the old-growth banister, worn smooth by miners and musicians of yesteryear, and step into a guest suite with large windows and a private bath, sure to leave visitors enchanted. Below street level, a joint or independent living space with its own entrance, kitchen, bath, and sleeping quarters offers the perfect retreat, complete with a private deck overlooking a seasonal creek and small pond, waiting for Koi. This extraordinary home blends history with modern practicality, embodying Nevada City's rich past and promising future!","2526","Active","","1898"
"1","Penn Valley","18061 Piper Ln","95946","","3","","0.00","Ceiling Fan(s),Central,Whole House Fan,Heat Pump","82","","Family Room,Gas Log","3","4","Propane,Propane Stove,MultiUnits,Natural Gas","","825000.00","03/03/25","225024930","10.0000","435600","03/04/25","849000.00","24'+ Deep Garage,Attached,Enclosed,Garage Door Opener,Uncovered Parking Spaces 2+,Garage Facing Side,Guest Parking Available,Interior Access","0","Back Porch,Roof Deck,Covered Deck,Wrap Around Porch","","No","","Residential","Welcome to your dream home, a stunning multi-level retreat that lives comfortably like a single level residence on a beautiful, sprawling, 10-acre lot. This 2238 square foot residence offers three spacious bedrooms and three full bathrooms, providing ample space for relaxation and/or entertainment. As you enter, you're greeted by an abundance of natural light in the updated kitchen, a chef's delight featuring modern appliances and plenty of counter space, seamlessly connected to the open living and dining areas, ideal for entertaining. The main floor includes two generously sized bedrooms with serene views both from inside as well as the top deck which wraps around the whole main floor. The lower level features a third bedroom with its own full bathroom, as well as a SECOND full wraparound deck! This home is perfect for multi-generational living or rental opportunities. Step outside to enjoy expansive outdoor living with a fenced organic garden, an orchard, and a serene pond with an entertainment deck, perfect for summer gatherings. Additional features include three garage spaces, ample parking, and a versatile room that can be customized to fit your needs. This property is more than just a home; it's a serene lifestyle, and only 15 min from Nevada City!","2238","Active","","2006"
"0","Penn Valley","19238 Branding Iron Rd","95946","Traditional","3 (4)","","0.00","Ceiling Fan(s),Central","82","","","2","2","Central","","469000.00","03/02/25","225025202","5.7200","249163","03/04/25","469000.00","RV Possible,Detached,RV Storage,Uncovered Parking Spaces 2+","0","Wrap Around Porch","","No","","Residential","Nestled among the trees on a gated 5.72 acre property, with a little bit of clean up this could be peaceful retreat that offers a serene escape while remaining just 5 minutes from Penn Valley's shops and dining and 15 minutes from downtown Grass Valley. This home features a unique reverse floor plan, maximizing the stunning views from the wrap-around deck. The main level has a kitchen, living room, and master suite, creating a bright and airy space for everyday living. Cozy up by the wood stove on cool evenings, or step outside onto the deck to soak in the peaceful surroundings. Downstairs, you'll find additional bedrooms, full bath, and laundry area, providing a separate and private space for guests or family. The layout offers flexibility and comfort, making it a perfect home for those seeking a quiet retreat. Outdoor enthusiasts will love the proximity to Englebright Lake for boating and fishing, as well as hiking trails along the Yuba River at Bridgeport. Whether you're looking for adventure or relaxation, this property offers it all.","1792","Active","Stanley Hirtle","1979"
"1","Grass Valley","19120 Cherry Creek Rd","95949","A-Frame","3","","0.00","Central","79","Entry Gate,Fire Pit","Living Room,Stone","2","2","Propane,Wood Stove","One","445000.00","03/05/25","225022843","0.5100","22216","03/05/25","459000.00","Attached,RV Access,Enclosed,Garage Door Opener,Garage Facing Front","0","Front Porch,Back Porch","","No","","Residential","$8,000 CREDIT if you use the Seller's Loan Officer!!!    Remodeled home on a safe & family-friendly street. Flat 1/2-acre property with RV/Toy space, chicken coop, fire pit and a seasonal stream. This home has a 2 year roof warranty & dual-pane windows throughout which provides a peaceful indoor setting for your comfort. Country living, while centrally located only 15 min from Lake of the Pines, Downtown Auburn & Grass Valley shops/restaurants.  Septic, Well and Roof completion reports attached.","1088","Active","","1975"
"2","Nevada City","14708 Echo Ridge Dr","95959","Mediterranean,Contemporary","4 (5)","","0.00","Ceiling Fan(s),Central,MultiUnits,MultiZone","80","","Brick,Living Room,Dining Room,Wood Burning","2","2","Central,Fireplace(s),MultiUnits,MultiZone","","799000.00","03/04/25","225025883","0.4900","21344","03/06/25","887500.00","RV Possible,Garage Facing Side","1","","","No","","Residential","This stunning 3,550 sq. ft. retreat is just minutes from downtown Nevada City and Grass Valley. Designed by Pendola, this home blends elegance with comfort, featuring vaulted ceilings, a spacious great room, and a sunlit atrium. The updated kitchen boasts granite countertops, stainless steel appliances, and a cozy brick fireplace, perfect for gathering.    The luxurious primary suite offers soaring ceilings, wood floors, a private deck, and a recently updated en suite with a sunken tub and walk-in tile shower. A freshly painted, sunken dining room adds charm and character. With two additional bedrooms, an office space, and a den/family room, there's plenty of space to live, work, and entertain.    Enjoy seamless indoor-outdoor living with three expansive decks, French and Dutch doors, and a beautifully landscaped, private backyard surrounded by mature trees. With plenty of storage and an unbeatable location, this home is perfect for those seeking both tranquility and convenience. Don't miss out-schedule your private tour today!","3550","Active","","1968"
"0","Grass Valley","13300 Lower Colfax Road","95945","Ranch","3","","0.00","See Remarks","32","Entry Gate","","2","2","Propane,See Remarks","One","350000.00","02/19/25","225026350","6.3100","274864","03/05/25","350000.00","Detached","0","Uncovered Deck","","No","","Residential","OPPORTUNITY TO CREATE VALUE ON 6+ ACRES. BRING YOUR CASH BUYER! Trustee sale of As-is property. Modular (1970) with stick built (1980's)add on.  Septic has been pumped and cleared by Urke, Feb 2025. Listing price is reflective of work needed.  Was once a sweet home. Home is freshly painted, subflooring replaced, roof replaced and Byers leaf guard gutters approximately 2017. 6+ acres.  NID treated water, verified. Older well on property, unknown condition.Oversized garage appears to be in good condition (think ADU?)stick built. Very sweet spot, could be brought back to life for the right buyer. Home needs appliances, new flooring, and other upgrades.  It's an opportunity to have a spacious home on 6+ acres while creating value.  ESCROW PRE OPENED WITH PLACER TITLE COMPANY - GV","1812","Active","","Unknown"
"1","Penn Valley","13936 Oak Ridge Rd","95946","Ranch,Traditional","4 (5)","","0.00","Ceiling Fan(s),Central,Whole House Fan","80","","Living Room,Pellet Stove","3","3","Pellet Stove,Central,Propane Stove,Fireplace(s),Gas","","750000.00","03/05/25","225022086","5.0000","217800","03/06/25","750000.00","24'+ Deep Garage,Boat Storage,RV Possible,Garage Door Opener,Garage Facing Front,Uncovered Parking Spaces 2+,Guest Parking Available","0","Front Porch,Back Porch,Uncovered Deck","","No","","Residential","Spacious country home nestled on a lovely 5-acres providing both PRIVACY and usability. The home offers a versatile floor plan perfect for a large family, multigenerational living, or an income-producing opportunity. The main level, easily accessible from the paved driveway, hosts 3 bedrooms, 2 bathrooms, both living and family room, and a generous dining area. Multiple access points lead to the expansive deck. The lower level boasts an open-concept kitchen, dining, and living area, spacious bedroom, full bathroom, and a versatile multipurpose room currently used as a gym. Additional storage ensures ample space for all your needs. Beautiful hardwood flooring with NEW carpet and vinyl throughout.  Whole house fan, Beam vacuum system, Newer Quadra-Fire Pellet Stove, Underground 200 AMP service, 50 AMP at work station in garage, Generator Transfer Switch, 2 working Wells, and a roof with 20+ years of life remaining.  Property has wonderful sun exposure and is ideal setting for animals, gardening, or to enjoy nature. Fully fenced/cross-fenced property with a seasonal creek and pond, spacious shop/barn with a tall open door for storing a tractor, boat, or equipment. Located in the charming community of Penn Valley, just minutes to Grass Valley.","3100","Active","","1990"
"2","Grass Valley","18874 Colfax Hwy","95945","Bungalow,Ranch","5 (6)","","0.00","Window Unit(s)","44","","Living Room","4","2","Propane Stove,Wall Furnace,Wood Stove","","685000.00","03/05/25","225026776","2.2800","99317","04/11/25","685000.00","Detached,Workshop in Garage,See Remarks","0","Covered Deck","","No","","Residential","Bring the family together in this crazy world by living all on the same property but in your own home!   4 separate homes on a breathtaking, all useable 2.3 acre parcel in desireable Chicago Park!  One home is a 3/2 with a living room and family room; the second is a 2 bedroom home with covered porch; the third is an an adorable studio and the 4th is a studio with a workshop!    Endless possibilities with the beautiful land to have an organic garden with Piped treated water, NID irrigation water and a well!   Established old fruit trees compliment the landscaping!    Located 5 minutes to Rollins Lake Reservoir for year round enjoyment, and easy access to Hwy 80 to head to the slopes in 50 minutes or the State's Capital in 60!  This rare propoerty has multiple opportunites for the whole family or a fantastic investment which has brought in up to $6000 per month in income.  Live in one home for free with the income from the other homes!   Located as safe as you can be next to the Chicago Park (full time) Fire Department!   Very few Multi-family situations in the County and especially in desirable Chicago Park.   Build your real estate future investment right here!","1500","Active","","1951"
"2","Grass Valley","19570 Tiger Tail Rd","95949","","3 (4)","","0.00","Ceiling Fan(s)","80","","Wood Burning","3","2","Central","","498880.00","03/06/25","225027174","5.5700","242629","03/06/25","690880.00","RV Access,RV Storage","0","","","No","","Residential","Nestled in one of the most sought-after areas of Grass Valley, this 4-bedroom, 2,458 sq. ft. home sits on 5.57 gently rolling acres, offering space, privacy, and endless possibilities. The home features a spacious layout with a bonus room ready for your creative touch. While the house could benefit from some vision and updates, the potential here is undeniable.    Outside, a 50x30 shop with loft and RV parking cover provides ample space for storage, hobbies, or a workshop. The two-car garage adds convenience, and the acreage offers plenty of room for animals, gardens, or future improvements.    This is a rare opportunity to create your dream property in a prime location. Whether you're looking for a peaceful retreat, a project with great upside, or a place to call home with room to grow, 19570 Tiger Tail Rd is a must-see!","2458","Active","","1987"
"2","Nevada City","11417 Red Dog Rd","95959","Contemporary,Farmhouse","6","","0.00","Ceiling Fan(s),Central,MultiZone","80","","Family Room,Gas Piped,Master Bedroom","5","2","Gas","","1795000.00","03/06/25","41088413","3.1100","135471","03/06/25","1895000.00","Detached,Garage","0","Covered Patio,Deck(s)","","No","","Residential","This exceptional property, originally built in 1890, and completely renovated in 1990, offers almost 8000 sq. feet, offers a rare opportunity for a diverse range of buyers. At its heart is a 4,000-square-foot Concert Hall, expertly engineered with $100,000 in acoustic design, making it ideal for concerts, performances, lectures, receptions, and philanthropic events. A fully equipped executive chef's kitchen with a butler's pantry provides ample space for catering both grand events and family gatherings. The Concert Hall connects seamlessly to a large bar, reception veranda, and an expansive outdoor deck and yard. Additional features include ample guest parking, a garage, and a spacious workshop. The home itself boasts 7 bedrooms, 4 full baths, and 2 half baths, offering both luxury and functionality, on over 3 areas. This exceptional property is conveniently located just 5 minutes from downtown Nevada City and approximately 1 hours from Lake Tahoe. It offers easy access to both private and commercial airports, with the Nevada County Airport providing charter services, Reno and Sacramento International Airport, all within about an hour drive or less. Please make sure to view the entire photo gallery at the link in the details, as well as the video tour.","7371","Active","Other","1990"
"1","Penn Valley","11966 Marble Ct","95946","Contemporary","3 (4)","","0.00","Ceiling Fan(s),Central,Whole House Fan","79","","Insert,Family Room,Gas Piped,Gas Starter","3","2","Propane,Central,Propane Stove,Fireplace Insert,Gas","","489500.00","03/05/25","225026918","0.3000","13068","03/07/25","525000.00","Attached,Garage Door Opener,Garage Facing Front,Guest Parking Available","0","Front Porch,Uncovered Deck,Uncovered Patio","","No","","Residential","Welcome to your perfect retreat, tucked away on a peaceful cul-de-sac inside a gated community with 24-hour security! This single-level gem offers modern style and easy living--ideal for first-time buyers, retirees, or anyone seeking a relaxed lifestyle. Step into a spacious open-concept living area where elegance meets functionality. The newly updated kitchen shines with quartz countertops, stainless steel appliances, a new sink and faucet--all warmed by rich hardwood floors. A stone fireplace adds rustic charm, creating a cozy atmosphere. New tile flooring highlights the entry, baths, and laundry, along with beautifully renovated main and guest bathrooms. An additional downstairs room with a full bath and separate access adds flexibility for guests, a home office, or more. Freshly painted inside and out, this move-in-ready home invites your personal touch. Just an hour from Lake Tahoe and Sacramento--it's the best of both worlds. Paradise is calling--don't miss out!","1761","Active","Lake Wildwood","1981"
"0","North San Juan","20550 Grizzly Creek Rd","95959","Contemporary,See Remarks","3","","0.00","Other","79","","","1","0","Wood Stove","Two","269000.00","03/07/25","225027593","20.0000","871200","03/07/25","269000.00","No Garage","0","","","No","","Residential","Nice 20 + - Acres "AS IS" located on Old Mill Rd... Has address of Grizzly Creek Rd, but house and sheds are on Old Mill Rd. House is unfinished and needs a contractor or one with an imagination. My signs are just past Grizzly Creek Rd on Right. 4 Bed Rm  house was built 25 years ago with permits, but they are old and not known if valid.  It is a roughed in Shell with some wiring done and sheetrock is stacked in house. Well was in without Pump, no info on well. NO septic. Smaller cabin is one room about  16x16 and finished inside and built without permits. Can be a great home for contractor or one with imagination. Also has a shed 12x24. All the Debris & materials left behind by former tenant will be buyer's responsibility. Also the old cars and Trailers were left by last tenant, and are buyer's responsibility. **property is 28 miles from Grass Valley to the site. It is past North San Juan and not in Nevada City. follow the directions.","2248","Active","","1993"
"0","Smartsville","12105 Shepard Rd","95977","Yurt","1 (2)","","0.00","Other","79","Balcony","","1","0","None","","285000.00","03/07/25","225025867","3.4800","151589","03/07/25","285000.00","No Garage","0","Uncovered Patio","","No","","Residential","Gorgeous Yurt with A VIEW! This 3.5-acre retreat promises a lifestyle of adventure and tranquility: Nestled amidst scenic Yuba County about halfway between the vibrant hubs of Grass Valley and Yuba City & less than 15 minutes to Engelbright Lake. Outside the charming town of Smartsville, on a secluded private road, you'll find unparalleled privacy and serenity. The centerpiece: a stunning 700sf yurt with abundant natural light, elegant LVP flooring and stainless steel appliances. And the best part? It comes fully furnished for an effortless transition into your new weekend home. Bask in the breathtaking view while enjoying your morning coffee on the deck. Relish in the spa-like bathroom, unheard of for a yurt! PLUS!! A fully plumbed laundry room with loft; A separate finished room, complete with electricity, new flooring, and fresh paint; and, A shipping container ready for your tools & toys. Plus, a robust well and two huge storage tanks in place, allowing you to fully embrace the joys of country living. Whether you seek a weekend getaway, an Airbnb venture, or a peaceful residence, this must be seen to be fully appreciated. Call now and embark on a lifestyle of endless possibilities. Use the address as url for the video.","700","Active","","1990"
"1","Nevada City","17841 Blue Ridge Rd","95959","Craftsman","3","","0.00","Ceiling Fan(s),Ductless","79","Entry Gate","See Remarks,Gas Piped,Other","3","2","Propane Stove,Ductless","","820000.00","03/06/25","225027963","5.4000","235224","03/07/25","825000.00","Detached,Garage Facing Front","0","Front Porch,Uncovered Deck,Uncovered Patio","","No","","Residential","Artsy Retreat on Acreage in Nevada City!If you're looking for a unique, creative home with character, privacy, and stunning natural surroundings, this is it! This modern craftsman-style home boasts soaring ceilings, abundant natural light, and multiple living spaces designed for comfort and inspiration. Enjoy engineered wood flooring, updated bathrooms, and two spacious primary suites, plus expansive deck spaceperfect for entertaining or relaxing in the sunken outdoor soaking tub.The sunny, private acreage is enhanced by a natural tree buffer and privacy fencing. The oversized detached garage offers workshop & storage space, and additional outbuildings include a partially finished sauna with multiple concrete decks. Located just minutes from historic downtown Nevada City and the Edwards Crossing area of the Yuba River, this property offers easy access to endless outdoor recreation.  A one-of-a-kind retreat in a breathtaking settingdon't miss it!","2058","Active","","2008"
"2","Penn Valley","19149 Penn Valley Dr","95946","Ranch,Contemporary","3","","0.00","Ceiling Fan(s),Central","75","Balcony,Fireplace,Uncovered Courtyard","Kitchen,Living Room,Gas Log","3","2","Propane,Central","","1174000.00","02/27/25","225028294","11.0000","479160","03/11/25","1199000.00","Boat Storage,RV Garage Detached,RV Possible,Detached,RV Storage,Tandem Garage","1","","","Yes","Built-In,Fenced,Solar Heat","Residential","Welcome to a truly one-of-a-kind property that makes you feel like you're on top of the world. Perched in a private setting, this exceptional estate offers 270 degree panoramic views stretching from the ocean range, rolling valleys to the snow-capped Sierras. The main residence is a stunning 3-bd, 3.5-bath home featuring a chef's kitchen designed to resemble the bridge of a ship. Perfect for entertaining while soaking in the breathtaking scenery. Recent updates include fresh paint and new LVP flooring throughout. A separate guest house lives like a 2-bd, 1-bath retreat, complete with an inviting outdoor fireplace, ideal for cozy evenings under the stars. Sustainability meets luxury with owned solar, keeping energy costs low while maximizing efficiency. Outside, this property continues to impress with a large garage/shop, extensive defensible space cleared for fire safety, a variety of fruit trees, and a built-in-pool with waterfall features reminiscent of the natural beauty of the Yuba River. Conveniently located just 13 min from Grass Valley center and 6 minutes from a grocery store, this estate offers both privacy and accessibility. Plus, with two fully-manned fire stations within 5 min, you'll have added peace of mind. Come experience the magic of this hilltop haven.","3132","Active","","1981"
"2","Grass Valley","19617 Victoria Dr","95949","","3","","0.00","Central","76","","Decorative Only,Metal,Pellet Stove,Family Room,Wood Stove","2","5","Central","","569000.00","03/10/25","225028573","5.7400","250034","03/10/25","595000.00","1/2 Car Space,Private,RV Garage Detached,RV Storage,Garage Door Opener","0","","","No","","Residential","Experience mountain living at its finest at 19617 Victoria Dr. in Grass Valley, CA. Nestled on a sprawling 5.47-acre lot, this unique home offers breathtaking views, ample privacy, and a serene retreat from the everyday hustle. The residence combines modern comforts with the charm of a classic mountain home.  Step inside to discover a spacious interior filled with natural light, an inviting open floor plan, and beautifully maintained living spaces. Whether you're preparing meals in the gourmet kitchen or relaxing in the cozy living areas, every detail has been designed to enhance your lifestyle.  Outdoors, the expansive lot provides endless opportunities for recreation, gardening, and enjoying nature. The property features a generous, well-equipped garage and workshop, perfect for hobbyists, car enthusiasts, or anyone in need of extra space for projects and storage.  Don't miss your chance to own this mountain oasis where modern living meets rustic charm in a truly captivating setting.","2002","Active","","1989"
